rank,civ_code,civ_name,score,title,url
1,CHI,Chinese,8.367068,Feudal Aggression Control Build,https://aoe4guides.com/builds/2gfBW7hKc4xYEhyv5GyT
2,CHI,Chinese,7.441320,After 6min Song Boom,https://aoe4guides.com/builds/22pIVeTG4tiJ4U81DAxA
3,CHI,Chinese,6.734592,1TC BBQ Fast Castle - copy,https://aoe4guides.com/builds/2HWTvy8zOuJbSVleewaA
4,CHI,Chinese,6.689599,Chinese Tax Mill into Pro Scouts & Fast Castle,https://aoe4guides.com/builds/07iO1BfCWtNzQwERIvKy
5,CHI,Chinese,5.707110,China All-In - Copy for me to understand series - copy,https://aoe4guides.com/builds/0TIc2hcl5AFz5fA7FHzU
